panel_group,method_name,date_label,date,issue_time,target_time,hour,realized_pv,q05,q10,q25,q40,q50,q60,q75,q90,q95,raw_scenario_id,scenario_id,scenario_probability,pv_s_kw
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 09:00:00,9,,,,,,,,,,,5.0,,,892.1576538085938
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 10:00:00,10,,,,,,,,,,,5.0,,,1243.1807861328125
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 11:00:00,11,,,,,,,,,,,5.0,,,873.851318359375
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 12:00:00,12,,,,,,,,,,,5.0,,,1611.6693115234375
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 13:00:00,13,,,,,,,,,,,5.0,,,1721.876953125
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 14:00:00,14,,,,,,,,,,,5.0,,,1228.6676025390625
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 15:00:00,15,,,,,,,,,,,5.0,,,1171.3201904296875
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 16:00:00,16,,,,,,,,,,,5.0,,,790.2091674804688
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 17:00:00,17,,,,,,,,,,,5.0,,,183.34423828125
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 18:00:00,18,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 19:00:00,19,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 20:00:00,20,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 21:00:00,21,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 22:00:00,22,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 23:00:00,23,,,,,,,,,,,5.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 00:00:00,0,,,,,,,,,,,6.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 01:00:00,1,,,,,,,,,,,6.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 02:00:00,2,,,,,,,,,,,6.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 03:00:00,3,,,,,,,,,,,6.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 04:00:00,4,,,,,,,,,,,6.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 05:00:00,5,,,,,,,,,,,6.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 06:00:00,6,,,,,,,,,,,6.0,,,0.0
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 07:00:00,7,,,,,,,,,,,6.0,,,235.86276245117188
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 08:00:00,8,,,,,,,,,,,6.0,,,681.2254638671875
raw,G1 temporal Gaussian raw scenarios,Sunny Autumn,2025-09-30,2025-09-29 23:00:00,2025-09-30 09:00:00,9,,,,,,,,,,,6.0,,,1182.477783203125
